slug;school_id;korpus_id;walk_min;walk_m
aristarkhovskiy;osm-672-shkola-518;osm-672-shkola-518-1;26;1949
aristarkhovskiy;osm-361-shkola-1216;osm-361-shkola-1216-1;26;1967
aristarkhovskiy;osm-546-shkola-1221;osm-546-shkola-1221-1;27;1989
aristarkhovskiy;shkola-1468;shkola-1468-2;27;2007
aristarkhovskiy;osm-216-litsey-1303;osm-216-litsey-1303-1;27;2027
aristarkhovskiy;osm-191-shkola-1229;osm-191-shkola-1229-1;27;2044
aristarkhovskiy;osm-671-shkola-88;osm-671-shkola-88-1;29;2183
aristarkhovskiy;shkola-im-v-v-mayakovskogo;shkola-im-v-v-mayakovskogo-1;30;2233
aristarkhovskiy;osm-432-gbou-sosh-480;osm-432-gbou-sosh-480-1;30;2233
arkhitektor;osm-59-shkola-115;osm-59-shkola-115-1;9;665
arkhitektor;shkola-170-im-a-p-chehova;shkola-170-im-a-p-chehova-1;13;957
arkhitektor;osm-593-shkola-46;osm-593-shkola-46-1;14;1032
arkhitektor;shkola-1514;shkola-1514-3;16;1189
arkhitektor;osm-158-shkola-1100;osm-158-shkola-1100-1;18;1314
arkhitektor;osm-118-shkola-49;osm-118-shkola-49-2;24;1813
arkhitektor;shkola-1541;shkola-1541-1;24;1826
arkhitektor;osm-230-kadetskaya-shkola-internat-69;osm-230-kadetskaya-shkola-internat-69-1;28;2084
arkhitektor;shkola-113;shkola-113-2;28;2095
arkhitektor;osm-231-shkola-internat-62;osm-231-shkola-internat-62-1;28;2106
armani-casa-moscow-residences;shkola-1799;shkola-1799-4;7;512
armani-casa-moscow-residences;shkola-627-im-d-d-lelyushenko;shkola-627-im-d-d-lelyushenko-2;8;628
armani-casa-moscow-residences;osm-331-elizavetinskaya-gimnaziya;osm-331-elizavetinskaya-gimnaziya-1;8;632
armani-casa-moscow-residences;osm-525-shkola-1323;osm-525-shkola-1323-1;9;679
armani-casa-moscow-residences;osm-567-pirogovskaya-shkola;osm-567-pirogovskaya-shkola-1;13;946
armani-casa-moscow-residences;osm-648-frantsuzskiy-litsey-im-aleksan;osm-648-frantsuzskiy-litsey-im-aleksan-1;13;967
armani-casa-moscow-residences;osm-571-shkola-1262;osm-571-shkola-1262-1;16;1194
armani-casa-moscow-residences;osm-672-shkola-518;osm-672-shkola-518-1;20;1536
armani-casa-moscow-residences;shkola-1259;shkola-1259-1;22;1657
armani-casa-moscow-residences;shkola-1529-imeni-a-s-griboedova;shkola-1529-imeni-a-s-griboedova-4;23;1746
armani-casa-moscow-residences;pyatdesyat-sedmaya-shkola;pyatdesyat-sedmaya-shkola-3;24;1764
armani-casa-moscow-residences;shkola-1231-im-v-d-polenova;shkola-1231-im-v-d-polenova-4;26;1941
armani-casa-moscow-residences;ekonomicheskiy-litsey-reu-im-g-v-plehanova;ekonomicheskiy-litsey-reu-im-g-v-plehanova-1;26;1977
armani-casa-moscow-residences;osm-544-shkola-553;osm-544-shkola-553-1;26;1983
armani-casa-moscow-residences;litsey-ranhigs;litsey-ranhigs-2;28;2075
artel;osm-385-shkola-444;osm-385-shkola-444-1;10;785
artel;osm-575-shkola-1502-energiya;osm-575-shkola-1502-energiya-1;12;928
artel;shkola-na-yauze;shkola-na-yauze-1;18;1369
artel;heritage-school;heritage-school-1;20;1525
artel;inzhenernaya-shkola-1581;inzhenernaya-shkola-1581-3;20;1536
artel;osm-424-shkola-378;osm-424-shkola-378-1;23;1731
artel;osm-20-shkola-435;osm-20-shkola-435-1;25;1843
artel;osm-631-shkola-1690;osm-631-shkola-1690-1;25;1864
artel;shkola-1530-shkola-lomonosova;shkola-1530-shkola-lomonosova-2;25;1901
artel;osm-210-shkola-1429-imeni-geroya-sovet;osm-210-shkola-1429-imeni-geroya-sovet-1;26;1915
artel;osm-258-shkola-1301-im;osm-258-shkola-1301-im-1;26;1934
artel;shkola-1505-preobrazhenskaya;shkola-1505-preobrazhenskaya-3;26;1947
artel;osm-221-gimnaziya-1799-shkolnoe-otdele;osm-221-gimnaziya-1799-shkolnoe-otdele-1;28;2102
artel;shkola-1282-sokolniki;shkola-1282-sokolniki-1;28;2110
astris;litsey-vorobevy-gory;litsey-vorobevy-gory-1;11;797
astris;osm-204-shkola-25;osm-204-shkola-25-1;18;1325
astris;osm-91-shkola-22;osm-91-shkola-22-1;18;1345
astris;shkola-2086;shkola-2086-2;18;1360
astris;osm-653-shkola-1260;osm-653-shkola-1260-1;18;1363
astris;litsey-vtoraya-shkola-im-v-f-ovchinnikova;litsey-vtoraya-shkola-im-v-f-ovchinnikova-1;19;1392
astris;osm-93-shkola-1265;osm-93-shkola-1265-1;19;1414
astris;osm-201-shkola-26;osm-201-shkola-26-1;20;1501
astris;shkola-1533-lit;shkola-1533-lit-2;23;1759
astris;shkola-192;shkola-192-1;24;1830
astris;osm-431-shkola-1266;osm-431-shkola-1266-1;30;2224
aura;shkola-547;shkola-547-2;9;655
aura;shkola-630-im-g-p-kravchenko;shkola-630-im-g-p-kravchenko-2;13;992
aura;shkola-1257;shkola-1257-1;20;1490
aura;shkola-stolitsa-kit;shkola-stolitsa-kit-1;23;1702
aura;osm-41-mezhdunarodnyy-innovatsionnyy-;osm-41-mezhdunarodnyy-innovatsionnyy--1;24;1834
aura;litsey-ranhigs;litsey-ranhigs-1;27;2029
aura;shkola-1553-im-v-i-vernadskogo;shkola-1553-im-v-i-vernadskogo-2;27;2055
aura;osm-585-shkola-548-tsaritsyno;osm-585-shkola-548-tsaritsyno-1;29;2138
aurum-time;osm-394-shkola-365;osm-394-shkola-365-1;4;302
aurum-time;osm-395-shkola-442;osm-395-shkola-442-1;8;611
aurum-time;osm-380-shkola-318;osm-380-shkola-318-1;8;619
aurum-time;osm-381-shkola-362;osm-381-shkola-362-1;11;798
