slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
wellton-spa-residence;Wellton Spa Residence;Wellton Spa Residence;kontsern-krost;Концерн КРОСТ;премиум;премиум;минус к классу: адрес;премиум;;СЗАО;Хорошёво-Мнёвники;ул. Маршала Жукова;55.77700;37.46700;квартал (каталог);апартаменты;62;;9;;;сдан, есть остатки;;2023;900000;;;;;;;;;;https://krost.ru/projects/wellton-spa-residence;kvadroom.ru, Метриум, coords approx https://krost.ru/flats/ https://krost.ru/api/flats/?limit=1000 https://krost.ru/projects/wellton-spa-residence добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (46552) 24.09.2026;23.09.2026;нет;нет данных;нет;да;нет данных;нет;да;нет;да;Без отметки;красная линия: юридика;7;Школа № 138;7;Школа № 138;4;10;Школа № 1517;1;34;38.7;36765000;;23.09.2026;да;первичка и вторичка
dom-gorizontov;Дом Горизонтов;Дом Горизонтов;touch;Touch;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, паркинг, потолки;премиум;да;ЗАО;Крылатское;Осенний бульвар;55.75928;37.40921;адрес;квартиры;142;6;29;3.11;111;строится;;IV кв. 2027;723800;;;да;да;;;;;;;"kvadroom.ru, realty.vbr.ru, coords approx https://novostroev.ru/novostroyki/moskva/zao/krylatskoe/dom-na-ul-krylatskaya-23/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (60712) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/zao/krylatskoe/dom-na-ul-krylatskaya-23/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет данных;да;да;да;Отметка;минусы: машина;5;Школа № 1440;5;Школа № 1440;3;;;0;;44;34500000;;23.09.2026;да;первичка
ahead;Ahead (Эхэд);Ahead;vos-hod;Vos'hod;премиум;премиум;минус к классу: адрес;премиум;;ЗАО;Филёвский парк;район метро Филёвский парк;55.7339;37.4923;ЕИСЖС, объект 45298 (исправлено 23.09);квартиры;62;;19;3.20;109;строится;;II кв. 2026;721296;;;да;да;;;;;;https://ahead-house.ru/;"kvadroom.ru, coords approx https://novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/ahead/ | тип по наш.дом.рф (ЕИСЖС), 23.09.2026 добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (45298) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/ahead/ 24.09.2026";23.09.2026;нет;да;нет;да;да;нет;нет;да;да;Без отметки;минусы: адрес и класс, повседневность, застройщик, сроки дома;5;Школа №696;;;0;;;0;;68.4;52100000;;23.09.2026;да;первичка
forum;Форум (Forum);Форум;mr-group;MR Group;премиум;премиум;;премиум;;ЦАО;Мещанский;Садовая-Сухаревская ул., вл. 14;55.77301;37.62740;адрес;квартиры;46;;18;;77;строится;;2026;1971000;;;2;да;;;;;;https://www.mr-group.ru/projects/forum/;kvadroom.ru, coords approx https://www.mr-group.ru/projects/forum/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (51237) 24.09.2026;23.09.2026;да;да;да;да;да;да;да;не применяется;да;Отметка;;5;Школа № 2054;5;Школа № 2054;5;6;Школа № 2107;3;15;73.4;153773000;;23.09.2026;да;первичка
dom-franka;Дом Франка;Дом Франка;transstroyinvest;Трансстройинвест;премиум;премиум;;премиум;;ЦАО;Мещанский;Мещанский переулок;55.79371;37.63630;адрес;квартиры;147;4;10;3.55;;строится;;II кв. 2026;1581900;;;да;да;;;;;;https://frankshouse.ru/;"kvadroom.ru, coords approx https://novostroev.ru/novostroyki/moskva/cao/meshchanskiy/dom-franka/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (51567 +1) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/cao/meshchanskiy/dom-franka/ 24.09.2026";23.09.2026;да;да;да;да;нет данных;нет;да;да;да;Отметка;минусы: застройщик;10;Школа № 1297;14;Школа № 2107;1;14;Школа № 2107;3;64;;;;23.09.2026;да;первичка
slava;Слава (Slava);Слава;mr-group;MR Group;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность;премиум (Метриум), элит (kvadroom);да;САО;Беговой;Ленинградский проспект, вл. 8;55.78662;37.55950;адрес;квартиры;1245;;43;;;строится;;2027;845370;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://www.mr-group.ru/projects/zhk-slava/;kvadroom.ru, realty.vbr.ru, coords approx https://www.mr-group.ru/projects/zhk-slava/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (53747) 24.09.2026;23.09.2026;нет;нет;да;нет;нет данных;да;да;да;да;Без отметки;минусы: адрес и класс, окружение, плотность;3;Лицей №1550;15;Школа № 1601 им. Е.К. Лютикова;1;22;Школа № 1409;0;156;28.1;28118502;;23.09.2026;;первичка
badaevskiy;Бадаевский;Бадаевский;capital-group;Capital Group;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум/элит / элитный;да;ЗАО;Дорогомилово;Кутузовский проспект, 12;55.74889;37.55715;адрес;квартиры;871;5;21;3.05;1128;строится;;IV кв. 2026 – IV кв. 2027;1406000;;;;;;;;;;https://capitalgroup.ru;"kvadroom.ru, realty.vbr.ru, coords approx https://novostroev.ru/novostroyki/moskva/zao/dorogomilovo/badaevskiy/ https://capitalgroup.ru/badaevsky/ https://badaevsky.com добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (70968 +2) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/zao/dorogomilovo/badaevskiy/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;нет;нет;да;да;Без отметки;минусы: повседневность, плотность, машина, застройщик, сроки дома;2;Школа № 67;2;Школа № 67;2;30;Частная школа «Золотое сечение»;0;;;;;23.09.2026;да;первичка
era;Эра (Era);Эра;tekta-grupp;ТЕКТА ГРУПП;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум (Метриум), элит (kvadroom);да;ЮАО;Даниловский;Дербеневская набережная;55.72227;37.65143;адрес;квартиры;2048;10;55;3.15;728;строится, есть сданные;;II кв. 2029;611613;;цена не бьётся с классом;;;;;;;;https://era.center/;"kvadroom.ru, Метриум, anwin.ru, coords approx https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/derbenevskaya-20/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (62125 +1) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/derbenevskaya-20/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;нет;Без отметки;минусы: повседневность, плотность, машина, цена против класса;4;Школа № 1553 им. В.И. Вернадского;4;Школа № 1553 им. В.И. Вернадского;1;;;0;268;26.6;21700000;;23.09.2026;да;первичка и вторичка
shift;Шифт (SHIFT);Шифт;gk-pioner;ГК Пионер;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг;премиум/элит;да;ЮАО;Донской;2-й Донской проезд, 10;55.71137;37.59165;адрес;квартиры;551;;20;3.60;528;строится;;I кв. 2028;732892;;;;;;;;;;https://www.msk-shift.ru/;"kvadroom.ru, realty.vbr.ru, coords approx https://novostroev.ru/novostroyki/moskva/uao/donskoy/shift-shift/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (57362) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/donskoy/shift-shift/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;да;да;Присмотреться;минусы: окружение, машина;6;Бауманская инженерная школа № 1580. Корпус 3;13;Школа № 630 им. Г.П. Кравченко;1;20;Лицей «Воробьёвы горы»;1;60;45.3;33200000;;23.09.2026;да;первичка
tishinskiy-bulvar;Тишинский бульвар;Тишинский бульвар;sminex;Sminex;элитный;элитный;минус к классу: плотность;премиум/элит / элитный;;ЦАО;Пресненский;Электрический переулок, Тишинский бульвар;55.77230;37.57596;адрес;квартиры;220;;17;;;строится;;2027-2028;1374755;;;да;да;;;;;;https://www.sminex.com;kvadroom.ru, novostroev.ru, coords approx https://www.sminex.com/podbor-nedvizhimosti добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (61673 +2) 24.09.2026;23.09.2026;да;да;да;нет;нет данных;да;да;да;да;Присмотреться;минусы: плотность;2;Романовская школа;2;Романовская школа;2;;;0;219;45.6;69170000;;23.09.2026;да;первичка
muza;Муза (MUSE);Муза;gk-mangazeya;ГК Мангазея;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг;премиум/элит, новый старт 2026;да;САО;Аэропорт;Красноармейская ул., 11;55.79900;37.55500;квартал (каталог);квартиры+апартаменты;309;;21;;149;строится;;I кв. 2029;901800;;;да;да;;;;;;https://xn--80aaijj0ai2m.xn--p1ai/projects/muza;kvadroom.ru, cian.ru, Метриум, coords approx https://xn--80aaijj0ai2m.xn--p1ai/catalog?projects=muza https://xn--80aaijj0ai2m.xn--p1ai/projects/muza добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (70610) 24.09.2026;23.09.2026;нет;нет данных;нет;да;нет;нет данных;да;да;да;Без отметки;минусы: адрес и класс, повседневность, машина;5;Школа № 1601 им. Е.К. Лютикова;5;Школа № 1601 им. Е.К. Лютикова;6;9;Школа № 1575;1;99;41.2;42576080;;23.09.2026;да;первичка
nikol;Николь (Nicole);Николь;mr-group;MR Group;делюкс;делюкс;минус к классу: плотность;премиум/элит / делюкс;;ЦАО;Тверской;район метро Площадь Революции;55.75557;37.62349;адрес;квартиры;73;;9;;316;строится;;2027-2028;2400000;;;;;;;;;;https://mr-group.ru;kvadroom.ru, novostroev.ru, coords approx https://www.mr-group.ru/projects/doma-nicole/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (60273) 24.09.2026;23.09.2026;да;да;да;нет;да;да;да;да;да;Присмотреться;минусы: плотность;14;Школа № 179;14;Школа № 179;1;14;Школа № 179;2;144;68.9;192920000;;23.09.2026;да;первичка
kosmo-4-22;Космо 4/22;Космо 4/22;gals-development;Галс-Девелопмент;элитный;делюкс;понижен: не дотягивает до класса «делюкс» по двум и более признакам — плотность, паркинг, потолки;делюкс / делюкс;да;ЦАО;Замоскворечье;Космодамианская набережная, 4/22;55.74421;37.63966;адрес;апартаменты;92;5;9;3.23;41;сдан, есть остатки;;сдан;1757447;;;11;да;;;;;;https://hals-development.ru;"kvadroom.ru, coords approx https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/kosmo-4-22/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (62882) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/kosmo-4-22/ 24.09.2026";23.09.2026;да;да;да;нет;нет;нет данных;да;нет;да;Без отметки;красная линия: юридика;4;Школа № 518;8;Школа № 1259;1;19;Лицей НИУ ВШЭ;1;;47;82600000;;23.09.2026;да;первичка и вторичка
artel;Артель;Артель;stenoy;Stenoy;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, паркинг;премиум;да;ВАО;Преображенское;Электрозаводская ул.;55.78761;37.70547;адрес;квартиры;164;;13;3.25;58;строится;;III кв. 2026;599598;;;;;;;;;;https://artel.moscow/;"kvadroom.ru, coords approx https://novostroev.ru/novostroyki/moskva/vao/preobrazhenskoe/elektrozavodskaya-60/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (58524) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/vao/preobrazhenskoe/elektrozavodskaya-60/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет данных;да;да;нет;Отметка;минусы: машина, цена против класса;10;Школа № 444;18;Школа на Яузе;0;;;0;;24.9;18900000;;23.09.2026;да;первичка
reka;Река (клубный дом);Река;donstroy;Донстрой;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность;премиум/элит;да;ЗАО;Раменки;район метро Мичуринский проспект;55.69627;37.50461;адрес;квартиры;564;;25;;;строится, есть сданные;;2029;847000;;цены со скидкой застройщика (без скидки — выше);да;да;;;;;;https://donstroy.moscow/objects/reka/;kvadroom.ru, coords approx https://donstroy.moscow/full-search/ https://donstroy.moscow/objects/reka/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (71431 +2) 24.09.2026;23.09.2026;нет;да;да;да;нет данных;да;да;да;да;Отметка;минусы: адрес и класс;4;Школа № 1498 «Московская международная школа»;4;Школа № 1498 «Московская международная школа»;4;24;Университетская гимназия МГУ имени М.В. Ломоносова;0;127;52.1;51787890;;23.09.2026;да;первичка и вторичка
springs;Спрингс (Springs);Спрингс;uniq-development;UNIQ Development;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум/элит;да;ЗАО;Фили-Давыдково;;55.73081;37.45908;адрес;квартиры;149;7;28;3.10;179;строится;;III кв. 2027;1000000;;цена не бьётся с классом;;;;;;;;https://dom-springs.com/;"kvadroom.ru https://novostroev.ru/novostroyki/moskva/zao/fili-davydkovo/springs/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (62103) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/zao/fili-davydkovo/springs/ 24.09.2026";23.09.2026;нет;да;да;нет;нет;нет данных;да;да;нет;Без отметки;минусы: адрес и класс, плотность, машина, цена против класса;4;Навигацкая школа;14;Школа № 2101;1;;;0;;61.6;60400000;;23.09.2026;да;первичка
dostizhenie;Достижение;Достижение;sminex;Sminex;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум;да;СВАО;Марфино;;55.84627;37.58393;адрес;квартиры;1214;8;31;3.15;830;сдан, есть остатки;;сдан;640400;;;;;;;;;;;"novostroev.ru https://novostroev.ru/novostroyki/moskva/svao/marfino/dostizhenie-na-ul-akademika-koroleva-21/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (38823) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/marfino/dostizhenie-na-ul-akademika-koroleva-21/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;не применяется;да;Присмотреться;минусы: окружение, плотность, машина;3;Школа № 1494;3;Школа № 1494;1;;;0;;25;21700000;;23.09.2026;да;первичка и вторичка
26-parkvyu;26 Парквью;26 Парквью;mr-group;MR Group;премиум;премиум;минус к классу: адрес;премиум;;САО;Тимирязевский;ул. Тимирязевская;55.81926;37.56231;адрес;квартиры;257;;17;;;строится;;2029;751100;;;;;;;;;;https://www.mr-group.ru/projects/26parkview/;novostroev.ru, anwin.ru https://www.mr-group.ru/projects/26parkview/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (72885) 24.09.2026;23.09.2026;нет;да;нет;да;нет данных;да;да;да;да;Присмотреться;минусы: адрес и класс, повседневность;10;Первый Московский кадетский корпус;10;Первый Московский кадетский корпус;2;19;Школа № 218;1;50;40.6;30487149;;23.09.2026;да;первичка
demidov-26;Демидов 26;Демидов 26;oniks-development;Оникс-Девелопмент;премиум;премиум;минус к классу: паркинг;премиум;;ЦАО;Басманный;;55.76943;37.65707;адрес;квартиры;233;;14;3.60;171;анонс;;II кв. 2028;;;;;;;;;;;https://demidov26.moscow/;"novostroev.ru https://novostroev.ru/novostroyki/moskva/cao/basmannyy/demidov-26/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (71138) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/cao/basmannyy/demidov-26/ 24.09.2026";23.09.2026;да;да;да;да;нет;да;да;да;нет данных;Отметка;минусы: машина;4;Инженерная школа № 1581;4;Инженерная школа № 1581;2;19;Лицей НИУ ВШЭ;1;;;;;;да;анонс
king-end-sans;Кинг энд Санс (King & Sons);Кинг энд Санс;october-group;October Group;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, потолки;премиум/элит;да;ЗАО;Раменки;Мосфильмовская ул., 31А;55.71261;37.51212;адрес;квартиры;117;;17;3.23;;строится;;I кв. 2027;1100000;;;;;;;;;;;"novostroev.ru, kvadroom.ru https://novostroev.ru/novostroyki/moskva/zao/ramenki/king-sons/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (57465) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/zao/ramenki/king-sons/ 24.09.2026";23.09.2026;нет;да;нет;да;нет данных;нет данных;да;да;да;Присмотреться;минусы: адрес и класс, повседневность;5;Лицей № 1586;17;Шуваловская школа № 1448;0;;;0;;57.1;68100000;;23.09.2026;да;первичка
dom-a;Дом А;Дом А;brusnika;Брусника;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — паркинг, потолки;премиум;да;ЮАО;Даниловский;Дубининская ул., 59к5;55.71911;37.63480;адрес;квартиры;333;4;24;3.12;204;строится;;IV кв. 2027;644048;;;;;;;;;;;"novostroev.ru, cian.ru https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/dom-a/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (60533) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/dom-a/ 24.09.2026";23.09.2026;да;нет;нет;да;нет;да;да;да;да;Присмотреться;минусы: окружение, повседневность, машина;9;Школа № 627 им. Д.Д. Лелюшенко;9;Школа № 627 им. Д.Д. Лелюшенко;2;;;0;333;29.3;21800000;;23.09.2026;да;первичка
aurus-rezidentsii;Аурус Резиденции;Аурус Резиденции;gk-strana-development;ГК Страна Девелопмент;премиум;премиум;минус к классу: плотность;премиум, новый старт 2026;;ЦАО;Пресненский;2-й Красногвардейский проезд;55.75266;37.53448;адрес;квартиры;1774;;101;;;строится;;IV кв. 2031;1067448;;;;;;;;;;https://strana.com/msk/projects/premium/aurus/;Метриум, anwin.ru, coords approx https://strana.com/msk/flats/ https://strana.com/graphql/ https://strana.com/msk/flats/?project=UHJvamVjdFR5cGU6YXVydXM%3D&city=Q2l0eVR5cGU6MQ%3D%3D&statuses=0&statuses=4&type=flat добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (70095) 24.09.2026;23.09.2026;да;да;да;нет;нет данных;да;да;да;да;Отметка;минусы: плотность;14;Романовская школа;14;Романовская школа;1;;;0;209;31.7;39739000;;23.09.2026;да;первичка
one;ОНЕ (ONE);ОНЕ;mr-group;MR Group;премиум;премиум;минус к классу: плотность;премиум, новый старт;;ЦАО;Пресненский;1-й Красногвардейский проезд, Москва-Сити;55.75050;37.53938;адрес;квартиры;1417;;94;;;строится;;2030;999200;;;;;;;;;;https://www.mr-group.ru/projects/one/;Метриум, anwin.ru, coords approx https://www.mr-group.ru/projects/one/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68245) 24.09.2026;23.09.2026;да;да;да;нет;нет данных;да;да;да;да;Отметка;минусы: плотность;17;Школа № 340;19;Романовская школа;0;;;0;209;35;40456500;;23.09.2026;да;первичка
ays-tauers;Айс Тауэрс (ICE Towers);Айс Тауэрс;grad-development;Град Девелопмент;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум;да;ЗАО;Проспект Вернадского;;55.68160;37.51635;адрес;квартиры;1523;6;62;2.85;519;строится;;IV кв. 2028;758600;;;;;;;;;;;"Метриум/mirkvartir.ru https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/ice-towers/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (64808) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/ice-towers/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;да;да;Без отметки;минусы: окружение, повседневность, плотность, машина;6;Школа № 7;6;Школа № 7;2;12;Школа № 1514;1;;35;30800000;;23.09.2026;;первичка
deko-rezidens;Деко Резиденс;Деко Резиденс;gk-tashir;ГК Ташир;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — паркинг, потолки;премиум;да;ЮАО;Даниловский;;55.7109;37.6197;ЕИСЖС, объект 48352 (исправлено 23.09);апартаменты;145;;17;3.10;70;строится;;I кв. 2027;546414;;;;;;;;;;;"Метриум/mirkvartir.ru https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/deco-residence/ https://www.novostroy-m.ru/baza/jk_deco_residence_deko https://www.novostroy-m.ru/kvartiry/apartamenti-v-deco-residence-deko-rezidens-00f6ae4e355fdaa86df8d68349e8d9 добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (48352) 24.09.2026; квартиры, машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/deco-residence/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет;нет;нет;да;Без отметки;минусы: машина, застройщик, сроки дома, юридика;8;Школа № 1257;8;Школа № 1257;2;;;0;;24;14100000;;23.09.2026;да;первичка
gloraks-premium-belorusskaya;Глоракс Премиум Белорусская;Глоракс Премиум Белорусская;glorax;GloraX;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, паркинг, потолки;премиум;да;САО;Беговой;;55.78360;37.56021;адрес;апартаменты;326;;24;3.15;136;сдан, есть остатки;;сдан;517100;;;;;;;;;;;"Метриум/finance.mail.ru https://novostroev.ru/novostroyki/moskva/sao/begovoy/glorax-aura-belorusskaya/ добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (43864) 24.09.2026; квартиры, машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/begovoy/glorax-aura-belorusskaya/ 24.09.2026";23.09.2026;да;да;да;да;нет;да;да;нет;да;Без отметки;красная линия: юридика;2;Лицей №1550;18;Школа № 1288 им. Н.В. Троян;0;29;Школа № 1409;0;;31.4;21300000;;23.09.2026;да;первичка и вторичка
sikret-garden;Сикрет Гарден;Сикрет Гарден;gk-kortros;ГК КОРТРОС;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум;да;ЮЗАО;Обручевский;;55.65424;37.53941;адрес;квартиры;1066;15;32;2.90;455;строится;;IV кв. 2029;537000;;;;;;;;;;;"novostroev.ru https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/profsoyuznaya-vl-76a/ https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/profsoyuznaya-vl-76a/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (72374) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/profsoyuznaya-vl-76a/ 24.09.2026";23.09.2026;да;да;да;нет;нет;да;да;да;да;Отметка;минусы: плотность, машина;16;Школа №115;18;Школа № 170 им. А.П. Чехова;0;28;Школа № 1514;0;173;29.9;20670040;;23.09.2026;да;первичка
quartier-d-or;Quartier d'Or (Картьер д'Ор);Quartier d'Or;rariteco;RARITECO;делюкс;делюкс;;премиум / делюкс;;ЦАО;Замоскворечье;ул. Большая Татарская, 21;55.74028;37.63286;адрес;апартаменты;;;10;3.35;86;сдан, есть остатки;;I кв. 2026;1600000;;;;;;;;;;https://www.quartierdor.moscow/;"novostroev.ru https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/quartier-d-or/ | тип по наш.дом.рф (ЕИСЖС), 23.09.2026 добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (52227) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/quartier-d-or/ 24.09.2026";23.09.2026;да;да;да;нет данных;нет данных;нет данных;нет;нет;да;Присмотреться;минусы: сроки дома, юридика;10;Школа № 1323;12;Школа № 627 им. Д.Д. Лелюшенко;3;24;Лицей НИУ ВШЭ;0;;;97900000;;23.09.2026;да;первичка и вторичка
obydenskiy-1;Обыденский №1;Обыденский №1;sminex;Sminex;делюкс;делюкс;минус к классу: паркинг;делюкс;;ЦАО;Хамовники;3-й Обыденский пер., вл. 1, стр. 1;55.74252;37.60409;адрес;квартиры;26;;9;;41;сдан, есть остатки;;I кв. 2026;3189020;;;да (348,5-781,6 кв.м);да;;;;;;https://www.sminex.com;metrium 1H2026 | novostroev.ru | intermark.ru | coords approx https://www.sminex.com/podbor-nedvizhimosti добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (51572) 24.09.2026;23.09.2026;да;да;да;да;нет;да;да;не применяется;да;Присмотреться;минусы: машина;2;Школа № 1529 имени А.С. Грибоедова;2;Школа № 1529 имени А.С. Грибоедова;5;13;Пятьдесят седьмая школа;2;8;204;650560000;;23.09.2026;;первичка и вторичка
lavrushinskiy;Лаврушинский;Лаврушинский;sminex;Sminex;делюкс;делюкс;минус к классу: плотность;делюкс;;ЦАО;Якиманка;Большой Толмачёвский пер., 5;55.73973;37.62108;адрес;квартиры;171;;16;;;сдан, есть остатки;;сдан;2211119;;;да (664,1 кв.м);да;;;;;;https://www.sminex.com;metrium 1H2026 | novostroev.ru | coords approx https://www.sminex.com/podbor-nedvizhimosti добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (47351 +5) 24.09.2026;23.09.2026;да;да;да;нет;нет данных;да;да;не применяется;да;Присмотреться;минусы: плотность;6;Елизаветинская гимназия;8;Школа № 1799;2;27;Пятьдесят седьмая школа;0;97;66.8;193140000;;23.09.2026;да;первичка и вторичка
palashevskiy-11;Палашёвский 11;Палашёвский 11;sminex;Sminex;делюкс;делюкс;минус к классу: плотность;делюкс;;ЦАО;Тверской;Большой Палашёвский пер., 11-13;55.76496;37.59964;адрес;квартиры;43;;11;;;строится;;I кв. 2030;3025371;;;;;;;;;;https://www.sminex.com;novostroev.ru | novostroev.ru/articles | coords approx https://www.sminex.com/podbor-nedvizhimosti добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68269) 24.09.2026;23.09.2026;да;да;да;нет;нет данных;да;да;да;да;Присмотреться;минусы: плотность;3;Школа № 1234;3;Школа № 1234;4;16;Школа № 2123 им. Мигеля Эрнандеса;1;47;71.1;226750000;;23.09.2026;да;первичка
