slug;name;developer;class;district;address;has_img
sitizen;Ситизен (CityZen);MR Group;бизнес;Покровское-Стрешнево;ул. Вишневая;
alia;АЛИА;Asterus;премиум;Покровское-Стрешнево;ул. Лётная, 95Б;
skay-garden;Скай Гарден (Sky Garden);ГК ФСК;бизнес;Покровское-Стрешнево;Строительный проезд, 9;
level-streshnevo;Level Стрешнево;Level Group;бизнес;Покровское-Стрешнево;Волоколамское шоссе, 81;
u2;U2 (ЮТУ);ГК ТОЧНО;бизнес;Южное Тушино;ул. Лодочная, 27;
level-svobody;Level Свободы;Level Group;бизнес;Северное Тушино;ул. Свободы, 35;
level-prichalnyy;Level Причальный;Level Group;премиум;Хорошёво-Мнёвники;Причальный проезд;
zilart;ЗИЛАРТ;Группа ЛСР;бизнес;Даниловский;ул. Автозаводская, вл. 23;
mark;МАРК;Группа ЛСР;бизнес;Даниловский;ул. Автозаводская (ЗИЛ);
shagal;Shagal (Шагал);Группа Эталон;бизнес;Даниловский;наб. Марка Шагала (ЗИЛ-Юг);
nagatino-ay-lend;Нагатино Ай-Лэнд;Группа Эталон;бизнес;Даниловский;ул. Автозаводская, 23/184;
a22;А22;Консоль;бизнес;Даниловский;ул. Автозаводская, 22;
level-paveletskaya-siti;Level Павелецкая Сити;Level Group / MR Group;бизнес;Даниловский;ул. Дубининская, 59-69;
aura;АУРА (Мангазея на Тульской);ООО Мангазея;премиум;Даниловский;Тульская эстакада;
insayder;Инсайдер (Insider);РКС Девелопмент;бизнес;Даниловский;ул. Автозаводская, 24;
peyv;ПЕЙВ (PAVE);Forma;премиум;Даниловский;2-й Павелецкий пр-д, 4/6;
the-lot-by-akvilon;THE LOT by Akvilon;Группа Аквилон;премиум;Даниловский;Жуков проезд;
five-towers;Five Towers;СЗ 5 Донской;элитный;Донской;5-й Донской пр-д, 21;
life-varshavskaya;LIFE-Варшавская;ГК Пионер;бизнес;Москворечье-Сабурово;1-й Котляковский пер., 2А;
river-park;Ривер Парк;МССЗ / AEON;бизнес;Нагатинский Затон;ул. Речников;
tophills;TopHILLS;Ingrad;бизнес;Нагорный;ул. Ремизова;
twelve;Twelve (Твелв);TEKTA GROUP;бизнес;Нагорный;Электролитный пр-д, 12;
rotterdam;Rotterdam;ГК ФСК;бизнес;Нагатино-Садовники;Варшавское ш., 37а/1;
wow;WOW;Страна Девелопмент;бизнес;Даниловский;пр-т Андропова, 23;
simvol;Символ;Донстрой;бизнес;Лефортово;ул. Золоторожский Вал, 11;
balans;баланс (balance);Главстрой;бизнес;Рязанский;Рязанский пр-т, вл. 26;
portlend;ПОРТЛЕНД (Portland);Forma;премиум;Печатники;ул. Южнопортовая, 42;
ultima-siti;УЛЬТИМА Сити (Ultima City);ГК КОРТРОС;бизнес;Печатники;ул. Южнопортовая, 23;
admiral;Адмирал;Галс Девелопмент;премиум;Печатники;ул. Шоссейная (Южный порт);
grafika-na-vode;Графика на воде (Квартал на воде);ГК Самолёт;бизнес;Печатники;ул. Шоссейная, вл. 90;
dubrovka-ot-granel;Дубровка от Гранель (MYPRIORITY Dubrovka);ГК Гранель;бизнес;Южнопортовый;ул. Шарикоподшипниковская, 11;
nizhegorodskaya-ot-granel;Нижегородская от Гранель (MYPRIORITY Нижегородская);ГК Гранель;бизнес;Нижегородский;ул. Газгольдерная, вл. 10А;
akvilon-beside-2-0;Аквилон BESIDE 2.0;Группа Аквилон;бизнес;Нижегородский;Рязанский пр-т, 2;
voice;Voice (Войс);3S Group;бизнес;Текстильщики;1-й Грайвороновский пер.;
simonovskiy-val;Симоновский вал;ГК ФСК;бизнес;Южнопортовый;ул. Новоостаповская, вл. 6а;
metropoliya;Метрополия;MR Group;бизнес;Южнопортовый;Волгоградский пр-т, 32;
champine;Champine;Touch Development;бизнес;Южнопортовый;ул. Сосинская, 43;
stoun-greyn;СТОУН Грэйн (STONE Grain);Stone;бизнес;Обручевский;Старокалужское ш., 64с1;
tatum;ТАТУМ (Обручева 27);Forma;бизнес;Обручевский;ул. Обручева, 27;
