school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
osm-542-nou-shkola-apogey;"НОУ Школа ""Апогей""";нет;Другая;;"НОУ Школа ""Апогей""";55.679346;37.753213;OpenStreetMap, корпус;w492713772
osm-543-internat-tretiy-moskovskiy-kad;"Интeрнат ""Третий Московский кадетский корпус имени Александра Невского""";нет;Другая;;"Интeрнат ""Третий Московский кадетский корпус имени Александра Невского""";55.732888;37.652302;OpenStreetMap, корпус;r7295266
osm-544-shkola-553;Школа № 553;нет;Другая;;Школа № 553;55.724289;37.623634;OpenStreetMap, корпус;w497088018
osm-545-shkola-340;Школа № 340;нет;Другая;;Школа № 340;55.758873;37.536719;OpenStreetMap, корпус;r7325096
osm-546-shkola-1221;Школа №1221;нет;Другая;;Школа №1221;55.740739;37.678870;OpenStreetMap, корпус;r7334651
osm-547-shkola-1291-s-uglublennym-izuc;Школа №1291 с углублённым изучением английского языка;нет;Другая;;Школа №1291 с углублённым изучением английского языка;55.887266;37.537348;OpenStreetMap, корпус;r7405010
osm-548-shkola-440;Школа №440;нет;Другая;;Школа №440 (Гимназия № 1811 «Восточное Измайлово»);55.789705;37.812726;OpenStreetMap, корпус;w524737858
osm-549-tsentr-obrazovaniya-1480;Центр образования №1480;нет;Другая;;Центр образования №1480;55.764591;37.666136;OpenStreetMap, корпус;r7658484
osm-549-tsentr-obrazovaniya-1480;Центр образования №1480;нет;Другая;;Центр образования №1480;55.767301;37.671087;OpenStreetMap, корпус;r15450200
osm-550-shkola-19;Школа № 19;нет;Другая;;Школа № 19;55.819653;37.372184;OpenStreetMap, корпус;r7769356
osm-551-gimnaziya-19;Гимназия № 19;нет;Другая;;Гимназия № 19;55.914929;37.862193;OpenStreetMap, корпус;w857501629
osm-552-shkola-750;Школа №750;нет;Другая;;Школа №750;55.864720;37.696101;OpenStreetMap, корпус;w547624723
osm-553-shkola-933;Школа №933;нет;Другая;;Школа №933;55.582159;37.651068;OpenStreetMap, корпус;w549546857
osm-553-shkola-933;Школа №933;нет;Другая;;Школа №933;55.583750;37.649465;OpenStreetMap, корпус;w709580266
osm-554-chastnaya-shkola-bnot-menahem;"Частная школа ""Бнот Менахем""";нет;Другая;;"Частная школа ""Бнот Менахем""";55.766464;37.642943;OpenStreetMap, корпус;r8016230
osm-555-shkola-727;Школа №727;нет;Другая;;Школа №727;55.847170;37.516630;OpenStreetMap, корпус;w576198916
osm-556-shkola-418;Школа №418;нет;Другая;;Школа №418;55.763278;37.835088;OpenStreetMap, корпус;w582948076
osm-557-gbou-shkola-1373-korpus-1;ГБОУ Школа №1373, корпус №1;нет;Другая;;ГБОУ Школа №1373, корпус №1;55.781279;37.836425;OpenStreetMap, корпус;w584929556
osm-557-gbou-shkola-1373-korpus-1;ГБОУ Школа №1373, корпус №1;нет;Другая;;ГБОУ Школа №1373, корпус №2;55.778435;37.823666;OpenStreetMap, корпус;r8748581
osm-558-shkola-541;Школа 541;нет;Другая;;Школа 541;55.675372;37.601717;OpenStreetMap, корпус;w586790386
osm-559-progimnaziya-1661;Прогимназия №1661;нет;Другая;;Прогимназия №1661;55.873838;37.530825;OpenStreetMap, корпус;r8361042
osm-560-gbou-shkola-514-zdanie-2;ГБОУ школа № 514, здание № 2;нет;Другая;;ГБОУ школа № 514, здание № 2;55.681084;37.706131;OpenStreetMap, корпус;w596360354
osm-560-gbou-shkola-514-zdanie-2;ГБОУ школа № 514, здание № 2;нет;Другая;;ГБОУ школа № 514, здание № 1;55.677583;37.700150;OpenStreetMap, корпус;w641355975
osm-561-shkola-252;Школа № 252;нет;Другая;;Школа № 252;55.814810;37.594509;OpenStreetMap, корпус;w624186249
