rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note;lat;lon;geo_precision;geo_source
39;Школа № 1253;ГБОУ города Москвы «Школа № 1253»;Городская;школа;51;True;II степени;ЦАО;Хамовники;Зубовский б-р, д. 5, стр. 1;2;47;20;;;;;;;;;;;https://sch1253c.mskobr.ru/;;55.73460;37.59225;дом;OpenStreetMap / Nominatim, 21.09.2026
40;Областная гимназия им. Е.М. Примакова;;Частная;гимназия;48;True;;МО;Одинцовский г.о.;д. Раздоры, Утренняя ул., д. 1;;;;;3;;800000-900000;да;да;;;1–11 кл., олимпиадная и языковая подготовка, частично субсидируется МО;;https://primakov.school/;;55.74728;37.29758;населённый пункт;OpenStreetMap / Nominatim, 21.09.2026
41;Университетская гимназия МГУ имени М.В. Ломоносова;Университетская гимназия МГУ имени М.В. Ломоносова;Вузовская;гимназия;48;True;;ЗАО;Раменки;Ломоносовский пр-т, д. 27, корп. 7;;3;25;6;;;;;;;;;;https://school.msu.ru/;;55.69477;37.52462;дом;OpenStreetMap / Nominatim, 21.09.2026
42;Школа «Покровский квартал»;ГБОУ города Москвы «Школа «Покровский квартал»;Городская;школа;46;True;II степени;ЦАО;Басманный;Большой Казённый пер., д. 9;2;;11;;;;;;;;;;;https://pkvartal.mskobr.ru/;;55.76063;37.65554;дом;OpenStreetMap / Nominatim, 21.09.2026
43;Школа № 2107;ГБОУ города Москвы «Школа № 2107»;Городская;школа;46;True;II степени;ЦАО;Мещанский;Большая Переяславская ул., д. 1, стр. 1;2;;15;;;;;;;;;;;https://sch2107.mskobr.ru/;;55.78977;37.64134;улица (дом не найден);OpenStreetMap / Nominatim, 21.09.2026
44;Школа «НИКА»;;Частная;школа;45;True;;ЮЗАО;Зюзино;"Малая Юшуньская ул., д. 4; Одесская ул., д. 21/29 + кампусы Фили, Нагатино, Чертаново";;;;;10;средняя;720000-1320000;нет;да;;;полный цикл (сад — 11 кл.), несколько кампусов;;https://nikaschool.ru/;;55.65449;37.59516;дом;OpenStreetMap / Nominatim, 21.09.2026
45;Школа № 1363;ГБОУ города Москвы «Школа № 1363»;Городская;школа;45;True;I степени;ЮВАО;Выхино-Жулебино;Рязанский пр-т, д. 82, корп. 4;1;;;;;;;;;;;;;https://sch1363uv.mskobr.ru/;;55.70777;37.82419;дом;OpenStreetMap / Nominatim, 21.09.2026
46;Школа № 2036;ГБОУ города Москвы «Школа № 2036»;Городская;школа;45;True;I степени;ВАО;Новокосино;ул. Татьяны Макаровой, д. 2;1;;;;;;;;;;;;;https://sch2036v.mskobr.ru/;;55.71022;37.88721;дом;OpenStreetMap / Nominatim, 21.09.2026
47;Школа № 67;ГБОУ города Москвы «Школа № 67»;Городская;школа;44;False;III степени;ЗАО;Дорогомилово;Кутузовский пр-т, д. 10, стр. 1;3;33;39;87;;;;;;;;;;https://sch67.mskobr.ru/;;55.74867;37.55875;дом;OpenStreetMap / Nominatim, 21.09.2026
48;Международная школа «Интеграция XXI век»;;Частная;школа;43;False;;СЗАО;Щукино;"1-й Волоколамский пр-д, д. 9, корп. 2; ул. Маршала Катукова, д. 16, корп. 3";;;;;7;;;нет;нет;;;международная программа, углублённые иностранные языки, IB;;https://integraciya.ru/;;55.80092;37.48986;дом;OpenStreetMap / Nominatim, 21.09.2026
49;Школа № 1409;ГБОУ города Москвы «Школа № 1409»;Городская;школа;43;False;II степени;САО;Хорошёвский;Ходынский б-р, д. 7;2;;26;;;;;;;;;;;https://gym1409s-new.mskobr.ru/;;55.78374;37.53057;дом;OpenStreetMap / Nominatim, 21.09.2026
50;Школа «Алгоритм»;;Частная;школа;42;False;;ЦАО;Красносельский;Милютинский пер. + филиалы;;;;;8;;960000-1320000;нет;нет;;;билингвальность (английский + китайский), подготовка к IB;;https://algoritm-school.ru/;;55.76478;37.63332;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
51;Школа № 1517;ГБОУ города Москвы «Школа № 1517»;Городская;школа;42;False;II степени;СЗАО;Щукино;Живописная ул., д. 11, корп. 1;2;;29;;;;;;;;;;;https://1517.mskobr.ru/;;55.78522;37.45324;дом;OpenStreetMap / Nominatim, 21.09.2026
52;Школа № 1575;ГБОУ города Москвы «Школа № 1575»;Городская;школа;42;False;II степени;САО;Аэропорт;ул. Усиевича, д. 6;2;45;;;;;;;;;;;;https://lyc1575.mskobr.ru/;;55.80502;37.53174;дом;OpenStreetMap / Nominatim, 21.09.2026
53;Школа № 1547;;Городская;школа;41;False;II степени;ЮВАО;Марьино;;2;;33;;;;;;;;;;;;;55.66386;37.76733;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
54;Гимназия Святителя Василия Великого;;Частная;гимназия;39;False;;МО;Одинцовский г.о.;д. Зайцево, Кокошкинское ш., д. 1;;;;;11;;1395000;нет;да;;;православная гимназия, стипендиальная программа, развозка;;https://vasiliada.ru/;;;;не найдено;
55;Хорошевская школа (Хорошкола);;Частная;школа;39;False;III степени;СЗАО;Хорошёво-Мнёвники;"ул. Народного Ополчения, д. 7А и 9А; ул. Маршала Тухачевского, д. 45, корп. 2";3;40;;99;;да;;нет;да;;;билингвальная среда, система «4К», тьюторство, планетарий, бассейн;;https://horoshkola.ru/;;55.77075;37.47070;дом;OpenStreetMap / Nominatim, 21.09.2026
