school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Инновационная школа «Сколка»;innovatsionnaya-shkola-skolka;Частная;;4;ЗАО;Можайский;1;0;1;1;1;Гранель Притяжение Сити — 13 мин
Ломоносовская школа-пансион № 5;lomonosovskaya-shkola-pansion-5;Частная;;4;МО;Одинцовский г.о.;1;0;1;1;2;Маслово Forest Club — 12 мин
Романовская школа;romanovskaya-shkola;Городская;;4;ЦАО;Пресненский;5;3;5;10;22;"Тишинский бульвар — 2 мин; HeadLiner — 4 мин; Republic (Репаблик) — 6 мин; Шелепиха — 10 мин; Аурус Резиденции — 14 мин; Дом Дау — 16 мин; Level Причальный — 18 мин; Большой Козихинский 22 — 19 мин; Капранова 3 — 19 мин; ОНЕ (ONE) — 19 мин"
Школа «Содружество»;shkola-sodruzhestvo;Городская;;4;ЮВАО;Лефортово;3;0;0;2;4;"СТОУН Райз (STONE Rise) — 18 мин; Символ — 18 мин"
Школа на Яузе;shkola-na-yauze;Городская;;4;ЦАО;Басманный;2;1;1;3;4;"Интеллигент — 6 мин; СТОУН Сокольники (STONE Sokolniki) — 15 мин; Артель — 18 мин"
Школа № 1056;shkola-1056;Городская;;4;СЗАО;Южное Тушино;1;0;0;1;1;Level Свободы — 17 мин
Школа № 1103 им. А.В. Соломатина;shkola-1103-im-a-v-solomatina;Городская;;4;ЮЗАО;Ясенево;5;0;0;0;0;
Школа № 113;shkola-113;Городская;;4;ЮЗАО;Коньково;2;0;0;0;0;
Школа № 1155;shkola-1155;Городская;;4;СЗАО;Строгино;1;0;0;0;1;
Школа № 1173;shkola-1173;Городская;;4;ЮАО;Чертаново Центральное;1;0;0;0;0;
Школа № 118;shkola-118;Городская;;4;ЮЗАО;Ломоносовский;4;1;1;2;3;"CULT (Клубный дом Культ) — 3 мин; Айс Тауэрс (ICE Towers) — 16 мин"
Школа № 1207;shkola-1207;Городская;;4;ЮАО;Орехово-Борисово Южное;1;0;0;0;0;
Школа № 121;shkola-121;Городская;;4;ЮЗАО;Обручевский;1;0;0;1;3;Наметкин Тауэр — 17 мин
Школа № 1212 «Щукино»;shkola-1212-schukino;Городская;;4;СЗАО;Щукино;1;0;1;1;6;Ракурс — 11 мин
Школа № 1222 им. И.Х. Баграмяна;shkola-1222-im-i-h-bagramyana;Городская;Лучшая в районе;4;ЮВАО;Нижегородский;3;0;0;0;2;
Школа № 1236 им. С.В. Милашенкова;shkola-1236-im-s-v-milashenkova;Городская;Лучшая в районе;4;СВАО;Бутырский;4;1;1;3;5;"Квартал МОНС — 9 мин; 26 Парквью — 18 мин; Руставели, 14 — 18 мин"
Школа № 1248;shkola-1248;Городская;;4;ЗАО;Фили-Давыдково;3;0;0;0;3;
Школа № 1257;shkola-1257;Городская;;4;ЮАО;Даниловский;1;1;4;5;9;"Деко Резиденс — 8 мин; Дом 7 Даниловский — 11 мин; Level Павелецкая Сити — 14 мин; Дом А — 14 мин; АУРА (Мангазея на Тульской) — 20 мин"
Школа № 1272;shkola-1272;Городская;;4;ЮАО;Даниловский;1;0;0;0;5;
Школа № 1282 «Сокольники»;shkola-1282-sokolniki;Городская;;4;ВАО;Сокольники;2;1;1;3;7;"КОД Сокольники — 5 мин; Солос (Solos) — 15 мин; СТОУН Сокольники (STONE Sokolniki) — 17 мин"
Школа № 1285;shkola-1285;Городская;;4;СЗАО;Покровское-Стрешнево;4;1;1;3;7;"Скай Гарден (Sky Garden) — 7 мин; U2 (ЮТУ) — 17 мин; Level Стрешнево — 18 мин"
Школа № 1296;shkola-1296;Городская;Лучшая в районе;4;САО;Восточное Дегунино;1;0;0;0;3;
Школа № 1302;shkola-1302;Городская;;4;СЗАО;Строгино;2;0;0;0;0;
Школа № 1352;shkola-1352;Городская;;4;ВАО;Гольяново;4;0;0;0;0;
Школа № 1360;shkola-1360;Городская;;4;ВАО;Богородское;2;1;1;1;4;Sokolinn Park — 4 мин
Школа № 1374;shkola-1374;Городская;;4;СВАО;Ярославский;1;0;0;0;0;
Школа № 1381;shkola-1381;Городская;;4;СВАО;Лосиноостровский;3;0;0;0;0;
Школа № 141 им. Рихарда Зорге;shkola-141-im-riharda-zorge;Городская;;4;САО;Хорошёвский;1;1;1;2;9;"Дом на Зорге — 7 мин; INDY Towers — 19 мин"
Школа № 1415 «Останкино»;shkola-1415-ostankino;Городская;;4;СВАО;Останкинский;1;0;0;0;1;
Школа № 15;shkola-15;Городская;;4;ЮЗАО;Черёмушки;4;0;0;1;4;Наметкин Тауэр — 16 мин
Школа № 1515;shkola-1515;Городская;;4;СЗАО;Хорошёво-Мнёвники;2;2;4;6;6;"MYPRIORITY Мнёвники — 2 мин; Wellton Spa Residence — 9 мин; Crystal Трилогия — 12 мин; Высотка на Жукова (Демьяна Бедного, 24) — 13 мин; Квартал Серебряный Бор — 18 мин; Серебряный Бор (квартал) — 18 мин"
Школа № 1522 им. В.И. Чуркина;shkola-1522-im-v-i-churkina;Городская;;4;СЗАО;Хорошёво-Мнёвники;1;0;1;4;8;"MYPRIORITY Мнёвники — 13 мин; Высотка на Жукова (Демьяна Бедного, 24) — 16 мин; Wellton Spa Residence — 17 мин; Сезар Силика — 20 мин"
Школа № 1524;shkola-1524;Городская;;4;ЮВАО;Печатники;4;1;2;2;3;"ПОРТЛЕНД (Portland) — 7 мин; УЛЬТИМА Сити (Ultima City) — 11 мин"
Школа № 1526 на Покровской;shkola-1526-na-pokrovskoy;Городская;;4;ЮАО;Чертаново Южное;1;0;0;0;0;
Школа № 1527;shkola-1527;Городская;;4;ЮАО;Нагатинский Затон;4;2;2;2;2;"WOW — 8 мин; Ривер Парк — 9 мин"
Школа № 1531 им. С.К. Годовикова;shkola-1531-im-s-k-godovikova;Городская;;4;СВАО;Останкинский;2;2;3;4;4;"Мира — 3 мин; iLove — 4 мин; Лайм — 15 мин; Дом Франка — 19 мин"
Школа № 1598;shkola-1598;Городская;;4;ВАО;Гольяново;6;0;0;0;0;
Школа № 167 им. Л.А. Говорова;shkola-167-im-l-a-govorova;Городская;;4;САО;Левобережный;1;1;1;3;4;"Фестиваль парк-2 — 6 мин; L67 — 15 мин; Мангазея на Речном — 19 мин"
Школа № 1741;shkola-1741;Городская;;4;ЗАО;Тропарёво-Никулино;1;0;0;1;2;Страна.Озерная — 16 мин
Школа № 1770;shkola-1770;Городская;;4;ЮАО;Нагатинский Затон;4;1;1;1;2;Ривер Парк — 3 мин
Школа № 1794 им. А.С. Чуфистова;shkola-1794-im-a-s-chufistova;Городская;;4;САО;Восточное Дегунино;5;0;0;1;5;Алтуфьевское 53 — 17 мин
Школа № 1795 «Лосиноостровская»;shkola-1795-losinoostrovskaya;Городская;;4;ВАО;Метрогородок;1;0;0;1;1;Лосиноостровский парк — 20 мин
Школа № 1874;shkola-1874;Городская;;4;СЗАО;Щукино;2;0;2;3;7;"Интонация — 13 мин; Ракурс — 14 мин; Живописная, 27 — 18 мин"
Школа № 1935 им. В.И. Кузнецова;shkola-1935-im-v-i-kuznetsova;Городская;;4;ЮВАО;Выхино-Жулебино;2;0;0;0;0;
Школа № 1945 «Синяя птица»;shkola-1945-sinyaya-ptitsa;Городская;;4;ЮЗАО;Северное Бутово;1;0;0;0;0;
Школа № 1985;shkola-1985;Городская;;4;СЗАО;Куркино;1;0;0;0;0;
Школа № 1987;shkola-1987;Городская;;4;ЮВАО;Марьино;2;0;0;0;0;
Школа № 1995;shkola-1995;Городская;Лучшая в районе;4;ЮЗАО;Обручевский;1;0;0;0;0;
Школа № 1998 «Лукоморье»;shkola-1998-lukomore;Городская;;4;ЮАО;Братеево;1;0;0;0;0;
Школа № 2001;shkola-2001;Городская;;4;ЮАО;Бирюлёво Западное;1;0;0;0;0;
Школа № 2103;shkola-2103;Городская;;4;ЮЗАО;Ясенево;4;0;0;0;0;
Школа № 2116 «Зябликово»;shkola-2116-zyablikovo;Городская;;4;ЮАО;Зябликово;4;0;0;0;0;
Школа № 2121 им. С.К. Куркоткина;shkola-2121-im-s-k-kurkotkina;Городская;;4;ЮВАО;Люблино;3;0;0;0;0;
Школа № 2126 «Перово»;shkola-2126-perovo;Городская;;4;ВАО;Перово;3;0;0;1;2;ЭВОПАРК Измайлово (EVOPARK) — 19 мин
Школа № 2129 им. П.И. Романова;shkola-2129-im-p-i-romanova;Городская;;4;ЮВАО;Южнопортовый;5;0;0;0;4;
Школа № 285 им. В.А. Молодцова;shkola-285-im-v-a-molodtsova;Городская;;4;СВАО;Южное Медведково;4;0;0;0;0;
Школа № 305;shkola-305;Городская;;4;СВАО;Алтуфьевский;1;0;0;1;1;Алтуфьевское 53 — 16 мин
Школа № 368 «Лосиный остров»;shkola-368-losinyy-ostrov;Городская;;4;ВАО;Гольяново;2;0;0;0;0;
Школа № 429 «Соколиная гора»;shkola-429-sokolinaya-gora;Городская;;4;ВАО;Соколиная Гора;4;1;1;1;2;УНО. Соколиная гора (UNO) — 10 мин
Школа № 460;shkola-460;Городская;;4;ЮВАО;Люблино;5;0;0;0;0;
Школа № 554;shkola-554;Городская;;4;ЮЗАО;Зюзино;2;0;0;0;2;
Школа № 629;shkola-629;Городская;;4;ЮАО;Чертаново Южное;2;0;0;0;0;
Школа № 656 им. А.С. Макаренко;shkola-656-im-a-s-makarenko;Городская;;4;САО;Бескудниковский;3;1;2;3;4;"СВЕТ — 9 мин; Дмитровское небо — 14 мин; Селигер Сити — 19 мин"
Школа № 69 им. Б.Ш. Окуджавы;shkola-69-im-b-sh-okudzhavy;Городская;;4;СЗАО;Строгино;1;0;0;0;0;
Школа № 806;shkola-806;Городская;;4;ЗАО;Кунцево;2;0;1;1;4;Индиво — 14 мин
Школа № 825 имени В. А. Караковского;shkola-825-imeni-v-a-karakovskogo;Городская;;4;;;3;0;0;0;0;
Школа № 830;shkola-830;Городская;;4;СЗАО;Покровское-Стрешнево;4;1;2;2;4;"Ситизен (CityZen) — 10 мин; U2 (ЮТУ) — 14 мин"
Школа № 843;shkola-843;Городская;;4;ЗАО;Тропарёво-Никулино;2;0;2;2;3;"Level Мичуринский — 14 мин; Страна.Озерная — 14 мин"
Школа № 883 им. М.Ф. Лукина;shkola-883-im-m-f-lukina;Городская;;4;СЗАО;Северное Тушино;2;0;0;0;0;
Школа № 937 им. А.В. Перова;shkola-937-im-a-v-perova;Городская;;4;ЮАО;Орехово-Борисово Северное;2;0;0;0;0;
Школа № 950;shkola-950;Городская;;4;СВАО;Отрадное;5;1;3;3;4;"Дом Малевич — 6 мин; Союз — 11 мин; ОМ Ботанический — 14 мин"
Школа № 967 им. В.А. Комагорова;shkola-967-im-v-a-komagorova;Городская;;4;СВАО;Северное Медведково;3;0;0;0;1;
Школа № 97;shkola-97;Городская;;4;ЗАО;Фили-Давыдково;2;0;0;2;6;"SET — 16 мин; Veer — 16 мин"
Школа-интернат № 2;shkola-internat-2;Городская;;4;САО;Аэропорт;2;1;3;3;6;"Дом на Часовой (DD:OO:MM) — 6 мин; СОУЛ (SOUL) — 14 мин; DIUS (Диус) — 15 мин"
