school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Предуниверситарий МГЛУ;preduniversitariy-mglu;Вузовская;;19;ЦАО;Хамовники;1;1;6;7;19;"Хилков — 2 мин; Левшинский 19 (Your MAJESTY) — 10 мин; Annabel's (1913) — 11 мин; Обыденский №1 — 12 мин; Лё Дом (Le Dome) — 13 мин; Льва Толстого 14 — 14 мин; Земледельческий 15 — 19 мин"
Школа № 1293;shkola-1293;Городская;;19;ЗАО;Кунцево;2;1;2;2;3;"Молодогвардейская 54 (М54) — 8 мин; NEXUS by Akvilon — 11 мин"
Школа № 1306 — «Школа молодых политиков»;shkola-1306-shkola-molodyh-politikov;Городская;;19;ЗАО;Раменки;2;1;1;1;2;Река (клубный дом) — 5 мин
Школа № 1354 «Вектор»;shkola-1354-vektor;Городская;;19;ЮЗАО;Южное Бутово;1;0;0;0;0;
Школа № 1532;shkola-1532;Городская;Лучшая в районе;19;ЮЗАО;Тёплый Стан;4;0;0;0;0;
Школа № 1560 «Лидер»;shkola-1560-lider;Городская;;19;СЗАО;Хорошёво-Мнёвники;5;1;4;7;12;"Высотка на Жукова (Демьяна Бедного, 24) — 7 мин; Сезар Силика — 11 мин; MYPRIORITY Мнёвники — 11 мин; JOIS — 15 мин; Вереск — 16 мин; Эмоушен — 16 мин; Wellton Spa Residence — 19 мин"
Международная гимназия «Сколково»;mezhdunarodnaya-gimnaziya-skolkovo;Частная;;18;ЗАО;Можайский;1;0;1;1;1;Гранель Притяжение Сити — 10 мин
Пансион воспитанниц Министерства обороны РФ;pansion-vospitannits-ministerstva-oborony-rf;Городская;;18;САО;Хорошёвский;1;0;1;2;4;"Амбер Сити (AMBER CITY) — 13 мин; Сезар Сити (SEZAR CITY) — 18 мин"
Школа «Свиблово»;shkola-sviblovo;Городская;Лучшая в районе;18;СВАО;Свиблово;7;1;2;3;4;"AFI Tower — 8 мин; ОМ Ботанический — 12 мин; Союз — 16 мин"
Школа права и экономики;shkola-prava-i-ekonomiki;Городская;;18;;;1;0;0;0;0;
Школа № 109;shkola-109;Городская;;18;ЮЗАО;Тёплый Стан;2;0;0;0;1;
Школа № 1238;shkola-1238;Городская;Лучшая в районе;18;ЗАО;Ново-Переделкино;1;0;0;0;0;
Школа № 1273;shkola-1273;Городская;;18;ЮЗАО;Коньково;3;0;0;0;0;
Школа № 1347;shkola-1347;Городская;;18;ЗАО;Солнцево;3;0;0;0;0;
Школа № 1367;shkola-1367;Городская;;18;ЮВАО;Рязанский;2;0;0;0;2;
Школа № 1420;shkola-1420;Городская;;18;ЮВАО;Выхино-Жулебино;1;0;0;0;1;
Школа № 1454 «Тимирязевская»;shkola-1454-timiryazevskaya;Городская;;18;САО;Тимирязевский;6;0;1;1;3;26 Парквью — 11 мин
Школа № 1505 «Преображенская»;shkola-1505-preobrazhenskaya;Городская;Лучшая в районе;18;ВАО;Преображенское;5;0;1;2;6;"Зиккурат Преображенский — 11 мин; Преображенская площадь — 17 мин"
Школа № 1564 им. А.П. Белобородова;shkola-1564-im-a-p-beloborodova;Городская;;18;СЗАО;Митино;3;0;0;0;0;
Школа № 1570;shkola-1570;Городская;Лучшая в районе;18;САО;Беговой;1;0;0;0;3;
Школа № 1955;shkola-1955;Городская;Лучшая в районе;18;СВАО;Лосиноостровский;3;0;0;0;0;
Школа № 2006;shkola-2006;Городская;Лучшая в районе;18;ЮЗАО;Северное Бутово;1;0;0;0;0;
Школа № 41 им. Г.А. Тарана;shkola-41-im-g-a-tarana;Городская;Лучшая в районе;18;НАО;Внуково;1;0;0;0;0;
Школа № 2072;shkola-2072;Городская;;17;ВАО;Новогиреево;3;0;0;0;1;
Лицей Президентской академии РАНХиГС;litsey-prezidentskoy-akademii-ranhigs;Вузовская;;16;ЗАО;Тропарёво-Никулино;1;0;1;1;1;СИТИМИКС — 13 мин
Школа в Некрасовке;shkola-v-nekrasovke;Городская;;16;ЮВАО;Некрасовка;1;0;0;0;0;
Школа № 1018;shkola-1018;Городская;;16;ЗАО;Ново-Переделкино;1;0;0;0;0;
Школа № 1034 им. В.В. Маркина;shkola-1034-im-v-v-markina;Городская;Лучшая в районе;16;ЮАО;Братеево;2;0;0;0;0;
Школа № 1234;shkola-1234;Городская;;16;ЦАО;Арбат;4;8;11;17;30;"Палашёвский 11 — 3 мин; Левенсон (Levenson) — 6 мин; Малая Никитская 29-31 — 7 мин; Большой Козихинский 22 — 7 мин; Энигмия — 7 мин; CLOS 17 — 8 мин; Малая Дмитровка 5/9 — 9 мин; Камергер — 9 мин; Никитский 6 — 11 мин; Большая Никитская 16 — 13 мин; EDEN — 14 мин; Воздвиженка 7/6 — 15 мин; LUCE (Люче) — 17 мин; Капранова 3 — 17 мин; Земледельческий 15 — 17 мин; Stella di Mosca — 19 мин; Левшинский 19 (Your MAJESTY) — 19 мин"
Школа № 1279 «Эврика»;shkola-1279-evrika;Городская;;16;ЮЗАО;Зюзино;4;0;0;0;3;
Школа № 1358;shkola-1358;Городская;;16;СЗАО;Митино;3;0;0;0;0;
Школа № 1573;shkola-1573;Городская;;16;СВАО;Лианозово;1;0;0;0;0;
Школа № 1591;shkola-1591;Городская;;16;ВАО;Новокосино;3;0;0;0;0;
Школа № 1793 им. А.К. Новикова;shkola-1793-im-a-k-novikova;Городская;;16;ЮВАО;Выхино-Жулебино;3;0;0;0;0;
Школа № 2010 им. М.П. Судакова;shkola-2010-im-m-p-sudakova;Городская;Лучшая в районе;16;ЮВАО;Люблино;3;0;0;0;0;
Школа № 2025;shkola-2025;Городская;;16;ЗАО;Очаково-Матвеевское;3;1;2;2;3;"Страна.Озерная — 10 мин; Level Мичуринский — 14 мин"
Школа № 2117;shkola-2117;Городская;;16;НАО;Щербинка;1;0;0;0;0;
Школа № 654 им. А.Д. Фридмана;shkola-654-im-a-d-fridmana;Городская;Лучшая в районе;16;ЮВАО;Текстильщики;4;0;0;0;1;
Школа № 667 им. К.Я. Самсонова;shkola-667-im-k-ya-samsonova;Городская;Лучшая в районе;16;ЮАО;Бирюлёво Западное;5;0;0;0;0;
Школа № 814;shkola-814;Городская;;16;ЗАО;Очаково-Матвеевское;4;1;1;1;5;Феномен города — 9 мин
Школа № 853;shkola-853;Городская;Лучшая в районе;16;ЗелАО;Старое Крюково;1;0;0;0;0;
Школа им. Артёма Боровика;shkola-im-artema-borovika;Городская;;15;ЮВАО;Марьино;1;0;0;0;0;
Школа № 1000;shkola-1000;Городская;;15;ЗАО;Солнцево;2;0;0;0;0;
Школа № 1150 им. К.К. Рокоссовского;shkola-1150-im-k-k-rokossovskogo;Городская;;15;ЗелАО;Крюково;1;0;0;0;0;
Школа № 1195 им. П.И. Меренкова;shkola-1195-im-p-i-merenkova;Городская;;15;ЗАО;Можайский;2;0;0;2;5;"Кутузов Сити — 17 мин; Верейская 41 — 19 мин"
Школа № 1208 им. М.С. Шумилова;shkola-1208-im-m-s-shumilova;Городская;Лучшая в районе;15;ЮВАО;Кузьминки;4;0;0;0;0;
Школа № 1286;shkola-1286;Городская;;15;СЗАО;Северное Тушино;4;0;0;0;0;
Школа № 1353 им. Д.Ф. Алексеева;shkola-1353-im-d-f-alekseeva;Городская;Лучшая в районе;15;ЗелАО;Матушкино;1;0;0;0;0;
Школа № 1371 «Крылатское»;shkola-1371-krylatskoe;Городская;;15;ЗАО;Крылатское;2;1;1;2;2;"Дом Горизонтов — 8 мин; Крылатская 33 — 15 мин"
Школа № 1391;shkola-1391;Городская;Лучшая в районе;15;ТАО;Бекасово;1;0;0;0;0;
Школа № 1411;shkola-1411;Городская;;15;СВАО;Отрадное;2;0;1;1;2;Алтуфьевское 53 — 14 мин
Школа № 1512 им. Алии Молдагуловой;shkola-1512-im-alii-moldagulovoy;Городская;Лучшая в районе;15;ВАО;Вешняки;1;0;0;0;0;
Школа № 1552;shkola-1552;Городская;;15;ЮАО;Зябликово;4;0;0;0;0;
Школа № 1554;shkola-1554;Городская;;15;СВАО;Отрадное;5;0;1;1;4;Дом Малевич — 13 мин
Школа № 1561;shkola-1561;Городская;Лучшая в районе;15;ЮЗАО;Ясенево;5;0;0;0;0;
Школа № 1569 «Созвездие»;shkola-1569-sozvezdie;Городская;Лучшая в районе;15;ЮАО;Зябликово;2;0;0;0;0;
Школа № 1584;shkola-1584;Городская;;15;ЗАО;Кунцево;2;0;1;1;1;NEXUS by Akvilon — 11 мин
Школа № 1747 им. Д.М. Румянцева;shkola-1747-im-d-m-rumyantseva;Городская;;15;СЗАО;Митино;2;0;0;0;0;
Школа № 1788;shkola-1788;Городская;;15;НАО;Внуково;2;0;0;0;0;
Школа № 1883 «Бутово»;shkola-1883-butovo;Городская;;15;ЮЗАО;Южное Бутово;1;0;0;0;0;
Школа № 2033;shkola-2033;Городская;;15;ВАО;Северное Измайлово;5;0;0;0;1;
Школа № 641 им. Сергея Есенина;shkola-641-im-sergeya-esenina;Городская;;15;ЮВАО;Кузьминки;2;0;0;0;0;
Школа № 777 им. Е.В. Михайлова;shkola-777-im-e-v-mihaylova;Городская;;15;ЮВАО;Рязанский;6;0;1;2;3;"Аквилон BESIDE 2.0 — 14 мин; баланс (balance) — 16 мин"
Школа № 827;shkola-827;Городская;;15;СЗАО;Северное Тушино;2;0;0;0;0;
Школа № 947;shkola-947;Городская;Лучшая в районе;15;ЮАО;Бирюлёво Восточное;5;0;0;0;0;
Школа № 1539;shkola-1539;Городская;;14;СВАО;Алексеевский;1;1;3;3;4;"Лайм — 4 мин; Мира — 10 мин; iLove — 13 мин"
Школа № 887;shkola-887;Городская;;14;ЗАО;Кунцево;2;1;3;3;5;"Индиво — 9 мин; Кутузовский квартал — 14 мин; NEXUS by Akvilon — 15 мин"
Школа «Дмитровский»;shkola-dmitrovskiy;Городская;Лучшая в районе;13;САО;Дмитровский;1;0;0;0;1;
Школа «Столица-КИТ»;shkola-stolitsa-kit;Частная;;13;Москва;—;1;0;0;1;7;Дом 7 Даниловский — 18 мин
Школа № 1223;shkola-1223;Городская;;13;САО;Коптево;2;0;0;0;1;
Школа № 1250;shkola-1250;Городская;Лучшая в районе;13;САО;Войковский;1;1;1;1;5;Инджой (INJOY) — 10 мин
Школа № 1080;shkola-1080;Городская;;12;ВАО;Преображенское;3;0;2;5;6;"Преображенская площадь — 11 мин; Зиккурат Преображенский — 13 мин; ЭВОПАРК Сокольники (EVOPARK) — 19 мин; Назаре — 19 мин; Sokolinn Park — 19 мин"
Школа № 1520 им. Капцовых;shkola-1520-im-kaptsovyh;Городская;;12;ЦАО;Пресненский;2;6;13;15;20;"Большая Никитская 16 — 3 мин; Камергер — 4 мин; Stella di Mosca — 5 мин; EDEN — 5 мин; Никитский 6 — 8 мин; Палашёвский 11 — 9 мин; Воздвиженка 7/6 — 10 мин; LUCE (Люче) — 12 мин; Большой Козихинский 22 — 12 мин; Левенсон (Levenson) — 13 мин; Энигмия — 13 мин; Малая Дмитровка 5/9 — 13 мин; Малая Никитская 29-31 — 15 мин; CLOS 17 — 17 мин; Кузнецкий Мост 12 — 19 мин"
Школа № 1636 «НИКА»;shkola-1636-nika;Городская;;12;ЮАО;Орехово-Борисово Южное;5;0;0;0;0;
Школа № 1799;shkola-1799;Городская;;12;ЦАО;Якиманка;4;9;12;14;28;"Малая Полянка 3 — 2 мин; LA BELLE MAISON — 5 мин; Казачий — 5 мин; Armani/Casa Moscow Residences — 7 мин; Лаврушинский — 8 мин; DUO — 8 мин; Большая Ордынка 25 — 9 мин; Малая Ордынка 14 — 9 мин; Пыжевский — 9 мин; Красный Октябрь — 12 мин; Русские Сезоны — 12 мин; Quartier d'Or (Картьер д'Ор) — 15 мин; Большая Татарская 35 — 20 мин; Ильинка 3/8 — 20 мин"
Школа № 2065;shkola-2065;Городская;;12;НАО;Филимонковский;2;0;0;0;0;
Школа № 2101;shkola-2101;Городская;;12;ЗАО;Фили-Давыдково;3;1;2;2;5;"Гранд Фили — 6 мин; Спрингс (Springs) — 14 мин"
Школа № 922;shkola-922;Городская;;12;ВАО;Ивановское;2;0;0;0;0;
Инженерно-техническая школа им. П.Р. Поповича;inzhenerno-tehnicheskaya-shkola-im-p-r-popovicha;Городская;;11;САО;Аэропорт;3;2;4;4;6;"DIUS (Диус) — 3 мин; Дом на Часовой (DD:OO:MM) — 7 мин; СОУЛ (SOUL) — 12 мин; Муза (MUSE) — 14 мин"
Первый Московский образовательный комплекс;pervyy-moskovskiy-obrazovatelnyy-kompleks;Городская;;11;СВАО;Северное Медведково;4;0;2;3;7;"Мира — 11 мин; iLove — 12 мин; Дом Франка — 19 мин"
Школа № 1590 им. В.В. Колесника;shkola-1590-im-v-v-kolesnika;Городская;;11;САО;Ховрино;2;0;0;0;1;
Школа № 1852;shkola-1852;Городская;Лучшая в районе;11;ВАО;Перово;2;0;0;1;1;Плеханова, 11 — 19 мин
Школа № 315;shkola-315;Городская;;11;ЦАО;Красносельский;1;1;2;2;6;"Scala (Скала) — 5 мин; КОД Сокольники — 13 мин"
Школа № 544;shkola-544;Городская;;11;ЮАО;Орехово-Борисово Южное;3;0;0;0;0;
Школа № 91;shkola-91;Городская;;11;ЦАО;Арбат;1;3;8;10;24;"Никитский 6 — 4 мин; EDEN — 8 мин; Большая Никитская 16 — 9 мин; Воздвиженка 7/6 — 10 мин; CLOS 17 — 10 мин; LUCE (Люче) — 11 мин; Stella di Mosca — 13 мин; Малая Никитская 29-31 — 13 мин; Камергер — 19 мин; Большой Козихинский 22 — 20 мин"
Вешняковская школа;veshnyakovskaya-shkola;Городская;;10;ВАО;Вешняки;6;0;0;0;0;
Измайловская школа № 1508;izmaylovskaya-shkola-1508;Городская;;10;ВАО;Измайлово;3;0;0;0;0;
Пушкинская школа № 1500;pushkinskaya-shkola-1500;Городская;;10;ЦАО;Красносельский;4;4;7;11;20;"Turgenev (Клубный дом Тургенев) — 4 мин; RED7 — 5 мин; Фантом (Phantom) — 7 мин; Рождественка 8 — 10 мин; Форум (Forum) — 10 мин; Фон Дессин (Fon Dessin) — 11 мин; Scala (Скала) — 12 мин; Кузнецкий Мост 12 — 15 мин; Veil (Роден) — 15 мин; Городская усадьба в Орлово-Давыдовском — 18 мин; Демидов 26 — 18 мин"
Школа «Технологии обучения»;shkola-tehnologii-obucheniya;Городская;;10;ЗАО;Дорогомилово;2;0;5;8;16;"Д'оро Миле (D'oro Mille) — 10 мин; Муза (MUSE) — 14 мин; Vesper Kutuzovsky (ODA Gallery) — 14 мин; Дом на Часовой (DD:OO:MM) — 14 мин; DIUS (Диус) — 15 мин; У Поклонной горы — 15 мин; Бадаевский — 18 мин; Прайм Парк (Prime Park) — 19 мин"
Школа им. В.В. Маяковского;shkola-im-v-v-mayakovskogo;Городская;Лучшая в районе;10;ЮВАО;Южнопортовый;2;1;3;3;8;"Дубровка от Гранель (MYPRIORITY Dubrovka) — 8 мин; Симоновский вал — 13 мин; Champine — 14 мин"
Школа № 1191;shkola-1191;Городская;;10;СЗАО;Митино;3;0;0;0;0;
Школа № 1245;shkola-1245;Городская;Лучшая в районе;10;ЮАО;Чертаново Южное;3;0;0;0;0;
Школа № 1324;shkola-1324;Городская;;10;ВАО;Новогиреево;2;0;0;0;0;
Школа № 1375;shkola-1375;Городская;Лучшая в районе;10;ЮАО;Нагатино-Садовники;1;0;1;1;1;WOW — 12 мин
Школа № 1450 «Олимп»;shkola-1450-olimp;Городская;Лучшая в районе;10;ЮАО;Нагорный;4;1;1;2;2;"Twelve (Твелв) — 7 мин; TopHILLS — 16 мин"
Школа № 1466 им. Н. Рушевой;shkola-1466-im-n-rushevoy;Городская;Лучшая в районе;10;ЮАО;Царицыно;4;0;0;0;0;
Школа № 1498 «Московская международная школа»;shkola-1498-moskovskaya-mezhdunarodnaya-shkola;Городская;;10;ЗАО;Раменки;2;1;1;1;4;Река (клубный дом) — 4 мин
Школа № 1528 им. И.В. Панфилова;shkola-1528-im-i-v-panfilova;Городская;;10;ЗелАО;Старое Крюково;1;0;0;0;0;
Школа № 158;shkola-158;Городская;Лучшая в районе;10;САО;Левобережный;4;0;2;3;4;"Северный порт. Береговые кварталы — 12 мин; Фестиваль парк-2 — 14 мин; L67 — 17 мин"
Школа № 1583 им. К.А. Керимова;shkola-1583-im-k-a-kerimova;Городская;Лучшая в районе;10;САО;Головинский;3;0;2;2;5;"Нарвин — 12 мин; Кронштадтский 9 — 13 мин"
Школа № 1797 «Богородская»;shkola-1797-bogorodskaya;Городская;Лучшая в районе;10;ВАО;Богородское;2;0;1;4;5;"Sokolinn Park — 13 мин; Преображенская площадь — 16 мин; ЭВОПАРК Сокольники (EVOPARK) — 17 мин; Зиккурат Преображенский — 20 мин"
Школа № 185 им. В.С. Гризодубовой;shkola-185-im-v-s-grizodubovoy;Городская;;10;САО;Коптево;1;0;0;0;0;
Школа № 1861 «Загорье»;shkola-1861-zagore;Городская;;10;ЮАО;Бирюлёво Восточное;1;0;0;0;0;
Школа № 1900;shkola-1900;Городская;;10;СЗАО;Митино;1;0;0;0;0;
Школа № 1948 «Лингвист-М»;shkola-1948-lingvist-m;Городская;Лучшая в районе;10;ЮЗАО;Черёмушки;2;1;1;1;5;Наметкин Тауэр — 8 мин
Школа № 199;shkola-199;Городская;;10;ЮЗАО;Академический;2;1;1;1;2;Level Академическая — 6 мин
Школа № 2030;shkola-2030;Городская;;10;ЦАО;Пресненский;1;2;2;3;9;"Начало — 7 мин; Лайф Тайм (Life Time) — 8 мин; Капранова 3 — 18 мин"
Школа № 2104 на Таганке;shkola-2104-na-taganke;Городская;Лучшая в районе;10;ЦАО;Таганский;3;2;3;4;13;"Берниковская набережная 12 — 3 мин; Тессинский V — 9 мин; Костомаровский, 15 — 13 мин; Chkalov — 16 мин"
Школа № 2200;shkola-2200;Городская;;10;ВАО;Северное Измайлово;6;0;0;0;0;
Школа № 293 им. А.Т. Твардовского;shkola-293-im-a-t-tvardovskogo;Городская;;10;СВАО;Алексеевский;2;1;1;4;4;"Касаткина, 11 — 9 мин; Лайм — 17 мин; Мира — 18 мин; iLove — 19 мин"
Школа № 507;shkola-507;Городская;;10;ЮАО;Нагатино-Садовники;5;0;1;2;4;"WOW — 14 мин; Twelve (Твелв) — 16 мин"
Школа № 547;shkola-547;Городская;;10;НАО;Коммунарка;2;3;4;4;13;"Дом 7 Даниловский — 8 мин; ПЕЙВ (PAVE) — 9 мин; АУРА (Мангазея на Тульской) — 9 мин; Деко Резиденс — 13 мин"
Школа № 597 «Новое поколение»;shkola-597-novoe-pokolenie;Городская;;10;САО;Ховрино;1;0;0;0;2;
Школа № 709 им. В.И. Долгих;shkola-709-im-v-i-dolgih;Городская;;10;СВАО;Северный;3;0;0;1;1;ФизтехСити — 19 мин
Школа № 727;shkola-727;Городская;Лучшая в районе;10;СЗАО;Покровское-Стрешнево;3;0;1;4;5;"Примавера (Primavera) — 14 мин; Level Стрешнево — 16 мин; АЛИА — 17 мин; Скай Гарден (Sky Garden) — 18 мин"
Школа № 771;shkola-771;Городская;;10;САО;Дмитровский;2;0;0;0;2;
Школа № 924;shkola-924;Городская;;10;ЮАО;Чертаново Южное;5;0;0;0;0;
Школа № 956;shkola-956;Городская;;10;СВАО;Южное Медведково;1;0;0;0;0;
Школа № 1101;shkola-1101;Городская;;9;ЮЗАО;Тёплый Стан;4;0;0;0;0;
Школа № 1210;shkola-1210;Городская;;9;СЗАО;Щукино;2;1;1;3;6;"Живописная, 27 — 8 мин; Квартал Серебряный Бор — 18 мин; Серебряный Бор (квартал) — 18 мин"
Школа № 1259;shkola-1259;Городская;;9;ЦАО;Замоскворечье;2;2;7;13;23;"Садовническая 69 — 7 мин; Космо 4/22 — 8 мин; Большая Татарская 35 — 11 мин; Малая Ордынка 14 — 14 мин; Монблан — 14 мин; Павелецкая от Гранель (MYPRIORITY Paveletskaya) — 14 мин; Казачий — 14 мин; Quartier d'Or (Картьер д'Ор) — 15 мин; Русские Сезоны — 16 мин; Пыжевский — 17 мин; Voxhall (Воксхолл) — 18 мин; Большая Ордынка 25 — 18 мин; Малая Полянка 3 — 19 мин"
Школа № 1430 им. Г.В. Кисунько;shkola-1430-im-g-v-kisunko;Городская;;9;СВАО;Лианозово;2;0;0;0;0;
Школа № 1468;shkola-1468;Городская;;9;ЦАО;Таганский;2;0;0;2;4;"СТОУН Райз (STONE Rise) — 18 мин; Символ — 18 мин"
